CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
10150825	Active	403.400000	29	5	581.0	5.900	45.2	2	5
10150851	Active	404.800000	27	6	485.0	6.4	29.5	1	6
10151165	Active	427.400000	30	6	586.0	6.0	45.2	2	7
10151186	Active	428.400000	31	5	703.0	5.600	69.0	2	6
10151357	Active	439.300000	28	6	517.0	7.0	29.5	1	6
10151473	Active	445.500000	33	7	703.0	4.5	95.9	3	5
10152035	Active	479.600000	36	7	789.0	6.1	75.6	2	4
10156793	Active	383.400000	28	4	620.0	6.0	30.5	1	5
10157532	Active	395.500000	28	5	613.0	4.1	73.0	1	5
10158491	Active	410.500000	29	5	644.0	3.6	76.2	1	6
10160645	Active	443.500000	33	5	708.0	5.5	49.0	1	5
10162430	Active	473.500000	34	6	756.0	5.3	82.2	1	6
10163106	Active	484.600000	35	9	759.0	5.7	74.9	1	5
10167930	Active	616.700000	44	12	984.0	5.3	123.0	2	9
10172897	Active	395.400000	28	6	571.0	5.5	53.2	1	7
10173217	Active	415.500000	31	6	650.0	4.6	75.6	2	4
10173354	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10173525	Active	435.600000	32	7	665.0	6.000	75.6	2	4
10173634	Active	443.500000	33	8	679.0	5.2	75.6	2	4
10173659	Active	445.500000	33	7	703.0	4.5	95.9	3	5
10174141	Active	477.500000	35	7	774.0	5.0	95.9	3	6
10177869	Active	381.400000	27	4	598.0	2.9	84.0	2	5
10177943	Active	382.400000	27	4	608.0	2.7	85.9	1	6
10178295	Active	387.500000	27	4	598.0	4.4	73.0	1	5
10179031	Active	399.400000	28	4	639.0	3.8	73.0	1	6
10180123	Active	415.900000	28	4	631.0	4.4	73.0	1	5
10189211	Active	615.800000	44	14	912.0	5.9	88.7	1	8
10193599	Active	349.500000	26	3	542.0	5.2	30.5	1	3
10193967	Active	378.500000	28	4	587.0	4.3	33.7	1	4
10194268	Active	398.400000	28	8	474.0	6.5	29.5	1	6
10194607	Active	420.400000	30	6	564.0	7.0	29.5	1	6
10194889	Active	436.400000	31	7	588.0	5.700	54.4	2	8
10195783	Active	491.500000	36	7	795.0	5.300	95.9	3	6
10210815	Active	600.600000	42	12	963.0	5.8	114.0	2	11
10215978	Active	388.400000	27	6	482.0	5.9	29.5	1	7
10216152	Active	400.400000	28	7	489.0	5.7	38.7	1	7
10216465	Active	418.800000	28	6	513.0	6.7	29.5	1	6
10216535	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10216536	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10216697	Active	434.500000	31	6	593.0	7.4	29.5	1	6
10216788	Active	439.300000	28	6	507.0	7.0	29.5	1	6
10217420	Active	477.500000	35	7	774.0	5.0	95.9	3	6
10221941	Active	389.500000	29	2	622.0	6.3	30.5	1	3
10222329	Active	395.500000	28	4	625.0	4.1	73.0	1	5
10223284	Active	410.500000	29	5	652.0	3.7	85.0	2	6
10223610	Active	415.900000	28	4	639.0	4.4	73.0	1	5
10224296	Active	426.300000	27	3	616.0	5.5	30.5	1	3
10233467	Active	668.800000	48	16	1090.0	5.3	116.0	2	7
10237223	Active	370.400000	26	6	446.0	5.8	29.5	1	6
10238100	Active	427.400000	30	6	586.0	6.0	45.2	2	7
10238297	Active	439.300000	28	6	517.0	7.0	29.5	1	6
10238624	Active	463.500000	34	7	739.0	4.6	95.9	3	6
10238831	Active	477.400000	33	6	668.0	6.8	45.2	2	9
10238961	Active	485.600000	36	8	772.0	6.500	75.6	2	4
10247253	Active	349.500000	26	6	512.0	4.7	30.5	1	3
10252455	Active	436.000000	30	6	588.0	6.7	57.6	2	3
10252527	Active	437.400000	31	6	680.0	5.3	49.8	1	8
10269831	Active	359.400000	27	4	504.0	4.4	47.6	1	3
10271193	Active	381.400000	27	4	598.0	3.7	73.0	1	5
10271557	Active	387.500000	26	4	593.0	3.400	101.0	1	6
10272127	Active	397.400000	28	4	635.0	3.4	93.2	2	6
10272405	Active	401.500000	30	5	719.0	5.1	39.7	1	4
10272529	Active	403.500000	30	6	671.0	5.7	39.7	1	4
10274504	Active	433.500000	30	4	687.0	5.1	92.0	1	5
10275888	Active	453.500000	32	7	744.0	3.9	99.3	1	7
10283096	Active	652.700000	46	12	1070.0	5.5	123.0	2	11
10286964	Active	361.500000	27	4	583.0	5.4	30.5	1	3
10287444	Active	395.400000	28	6	563.0	5.5	53.2	1	7
10287863	Active	420.400000	30	6	564.0	7.0	29.5	1	6
10288006	Active	429.800000	29	6	605.0	6.1	53.2	1	7
10288155	Active	439.300000	28	6	517.0	7.0	29.5	1	6
10288565	Active	463.500000	34	9	681.0	5.700	67.8	2	6
10288784	Active	477.500000	35	8	754.0	4.9	84.9	2	6
10289020	Active	490.500000	36	7	842.0	4.9	108.0	3	7
10291237	Active	345.400000	26	3	490.0	3.9	47.6	1	3
10294824	Active	407.500000	31	4	597.0	5.6	47.6	1	3
10295095	Active	411.500000	29	5	650.0	3.7	82.2	1	6
10295116	Active	411.500000	31	2	677.0	6.3	30.5	1	3
10296963	Active	439.500000	31	7	672.0	4.4	82.2	1	6
10297219	Active	443.500000	32	5	710.0	5.3	73.0	1	5
10298892	Active	470.600000	35	4	811.0	5.4	60.0	1	5
10309447	Active	384.400000	27	6	479.0	6.1	29.5	1	6
10309755	Active	404.800000	27	6	477.0	6.4	29.5	1	6
10309756	Active	404.800000	27	6	485.0	6.4	29.5	1	6
10310476	Active	449.300000	27	6	485.0	6.4	29.5	1	6
10310809	Active	469.500000	34	7	739.0	5.800	95.9	3	6
10311251	Active	496.600000	36	7	842.0	6.0	108.0	3	7
10313926	Active	320.400000	24	0	592.0	3.8	45.0	1	4
10316069	Active	353.500000	27	1	575.0	5.6	21.3	1	2
10316670	Active	363.500000	27	6	539.0	4.9	30.5	1	3
10317646	Active	380.500000	27	3	593.0	4.2	66.3	1	4
10318044	Active	387.500000	28	5	539.0	6.0	46.6	1	3
10319739	Active	416.500000	31	4	652.0	5.9	38.0	1	3
10323216	Active	488.500000	35	6	847.0	5.9	88.0	2	8
10325323	Active	552.600000	38	4	1170.0	3.900	124.0	1	10
10339694	Active	379.600000	27	5	525.0	5.7	46.6	1	3
10340204	Active	387.900000	28	1	608.0	6.3	21.3	1	2
10342379	Active	425.600000	32	7	648.0	6.2	30.5	1	3
10361560	Active	366.500000	27	2	542.0	4.6	60.7	3	3
10362274	Active	378.400000	28	3	605.0	4.1	51.2	1	4
10362453	Active	381.600000	27	7	501.0	6.1	46.6	1	3
10365592	Active	433.600000	31	7	602.0	6.5	46.6	1	4
10366372	Active	448.000000	32	7	635.0	6.6	30.5	1	3
10372181	Active	659.800000	47	18	1040.0	5.3	143.0	3	9
10384345	Active	367.500000	27	6	547.0	4.8	30.5	1	4
10384804	Active	374.500000	26	5	567.0	4.6	70.3	2	4
10386584	Active	405.500000	30	5	668.0	4.4	62.6	2	4
10386752	Active	408.500000	29	3	651.0	4.9	66.3	1	4
10388043	Active	431.500000	32	7	629.0	6.1	30.5	1	4
10406413	Active	363.400000	27	3	600.0	4.7	50.7	2	4
10407417	Active	380.500000	27	3	593.0	4.2	66.3	1	4
10410448	Active	430.500000	31	3	710.0	5.5	66.3	1	4
10411364	Active	448.000000	32	7	627.0	6.6	30.5	1	3
10428095	Active	352.400000	26	4	556.0	4.7	38.0	1	3
10428171	Active	353.500000	25	6	461.0	5.3	46.6	1	3
10429332	Active	371.900000	25	5	506.0	5.4	57.6	2	3
10429502	Active	374.500000	27	2	754.0	2.100	94.8	3	5
10440737	Active	886.200000	63	18	1610.0	7.8	174.0	5	10
10446402	Active	280.400000	20	1	459.0	4.1	64.1	1	3
10450619	Active	351.500000	25	6	486.0	5.1	46.6	1	3
10450738	Active	353.500000	26	2	528.0	3.2	73.6	3	4
10452933	Active	389.500000	29	3	613.0	4.0	50.9	1	4
10453115	Active	392.400000	29	3	626.0	4.600	38.0	1	4
10454007	Active	406.500000	30	3	641.0	5.100	38.0	1	4
10454813	Active	420.500000	31	3	678.0	5.5	38.0	1	4
10456872	Active	458.600000	34	5	731.0	7.2	38.0	1	3
10457600	Active	474.500000	34	5	832.0	5.4	88.0	2	8
10472575	Active	342.500000	25	4	614.0	4.3	37.3	1	2
10473865	Active	362.900000	24	5	522.0	4.4	70.3	2	3
10474093	Active	366.500000	27	3	530.0	4.8	60.7	3	3
10474264	Active	369.500000	26	6	520.0	5.2	46.6	1	4
10474749	Active	377.500000	28	6	575.0	5.6	30.5	1	3
10475384	Active	388.500000	29	3	610.0	5.000	38.0	1	3
10475688	Active	393.600000	28	5	539.0	6.3	46.6	1	3
10475742	Active	394.500000	28	3	607.0	4.7	66.3	1	4
10478173	Active	436.500000	32	4	697.0	5.100	47.3	1	5
10478638	Active	444.600000	32	3	724.0	6.1	66.3	1	4
10484201	Active	634.700000	45	16	971.0	4.5	154.0	4	10
10503520	Active	446.400000	29	1	645.0	6.7	21.3	1	2
10596252	Active	385.500000	29	1	645.0	6.1	21.3	1	3
10598305	Active	422.300000	29	1	649.0	6.9	21.3	1	2
10622594	Active	432.400000	28	1	608.0	6.3	21.3	1	2
10643956	Active	387.900000	28	1	616.0	6.3	21.3	1	2
10668755	Active	401.400000	30	1	716.0	6.3	21.3	1	4
10717098	Active	422.300000	29	1	639.0	6.9	21.3	1	2
10741366	Active	432.400000	28	1	616.0	6.3	21.3	1	2
10763832	Active	405.900000	29	1	651.0	6.4	21.3	1	3
10787258	Active	401.900000	29	1	645.0	6.6	21.3	1	2
10811045	Active	401.400000	30	1	716.0	6.3	21.3	1	4
10832792	Active	367.500000	28	1	602.0	6.0	21.3	1	2
10860931	Active	346.500000	26	3	569.0	5.1	33.3	2	3
10873317	Active	411.500000	31	2	727.0	7.0	21.3	1	3
10883247	Active	373.500000	28	4	639.0	5.8	30.5	1	3
10906030	Active	426.300000	27	3	603.0	5.7	30.5	1	3
10906044	Active	426.500000	32	2	759.0	6.3	24.5	1	4
10937849	Active	383.500000	29	1	676.0	6.2	21.3	1	3
10960295	Active	397.500000	30	1	712.0	6.5	21.3	1	3
10970905	Active	379.400000	28	4	630.0	4.400	56.8	1	5
10972344	Active	446.800000	27	2	623.0	6.0	41.5	2	3
10993685	Active	429.500000	31	2	733.0	6.7	46.6	1	4
11002535	Active	347.400000	26	3	569.0	4.2	41.5	2	3
11003946	Active	402.500000	30	5	723.0	4.8	63.5	1	5
11013870	Active	361.500000	27	4	583.0	4.7	30.5	1	3
11013871	Active	361.500000	27	3	597.0	5.4	30.5	1	3
11015162	Active	413.500000	31	2	731.0	6.1	30.5	1	4
11025398	Active	383.500000	29	1	676.0	6.2	21.3	1	3
11046701	Active	363.500000	26	3	571.0	5.6	46.6	1	3
11057125	Active	346.500000	26	3	569.0	3.9	47.3	2	3
11057924	Active	377.500000	28	4	615.0	4.2	50.7	2	4
11069511	Active	405.500000	30	5	701.0	4.9	56.8	1	5
11079263	Active	373.400000	28	1	672.0	5.3	34.4	1	4
11089159	Active	342.400000	26	2	642.0	4.8	45.0	1	3
11089468	Active	351.900000	25	2	556.0	5.7	21.3	1	2
11110616	Active	341.400000	26	3	638.0	5.3	21.3	1	2
11110815	Active	347.400000	26	2	581.0	5.0	30.5	1	3
11121575	Active	347.400000	26	2	581.0	5.0	30.5	1	3
11131414	Active	333.400000	25	2	554.0	4.7	41.5	2	3
11132273	Active	365.400000	27	3	603.0	5.2	30.5	1	4
11143041	Inactive	364.500000	26	2	577.0	4.3	77.8	3	4
11155441	Active	461.600000	33	4	782.0	5.1	88.2	2	6
11177172	Active	404.500000	30	3	649.0	4.7	58.3	2	4
11201812	Active	452.500000	32	7	630.0	6.3	58.1	2	7
11212626	Active	432.400000	31	4	756.0	3.8	88.0	2	8
11213029	Active	447.500000	32	3	767.0	4.500	99.2	3	6
11213179	Active	453.600000	34	3	793.0	6.8	50.7	2	4
11225369	Active	479.500000	34	6	688.0	5.3	61.4	2	8
11226313	Active	528.600000	37	5	894.0	5.9	91.0	3	9
11244720	Active	340.400000	25	2	540.0	4.100	38.0	1	3
11256303	Active	340.400000	25	1	554.0	3.2	36.3	0	4
11269006	Active	380.500000	28	5	597.0	5.4	38.0	1	3
11271731	Active	487.600000	37	3	873.0	7.3	50.7	2	4
11272042	Active	502.600000	36	5	902.0	6.0	101.0	2	7
11273833	Active	661.500000	42	12	966.0	6.3	114.0	2	10
