CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
16665374	Active	483.000000	33	7	727.0	6.0	84.4	2	5
16665449	Active	510.600000	36	8	829.0	4.7	102.0	2	7
16665451	Active	576.600000	40	9	939.0	5.8	111.0	2	10
16665452	Active	524.600000	37	9	845.0	3.2	137.0	2	9
16665453	Active	494.600000	35	8	798.0	2.9	128.0	2	8
16665528	Active	517.600000	37	8	919.0	4.3	126.0	2	7
16665533	Active	494.600000	35	8	771.0	6.5	84.4	2	6
16665605	Active	483.600000	33	7	728.0	6.0	97.7	1	6
16665606	Active	515.600000	35	7	915.0	4.8	115.0	1	7
16665608	Active	465.600000	33	7	724.0	6.100	72.4	1	5
16666385	Active	467.600000	33	7	728.0	5.5	81.6	1	6
16666386	Active	466.600000	33	7	727.0	5.5	84.4	2	6
16666470	Active	478.600000	34	8	740.0	5.4	93.6	2	6
16666472	Active	448.600000	32	7	693.0	5.4	84.4	2	5
16721017	Active	493.600000	37	4	1040.0	3.7	49.8	1	4
16722203	Active	511.600000	38	4	1080.0	3.8	49.8	1	5
16730097	Active	561.600000	41	4	1170.0	4.5	49.8	1	7
16734800	Active	422.800000	29	3	554.0	6.5	17.8	0	6
16739323	Active	431.600000	32	3	925.0	2.4	49.8	1	4
16756780	Active	328.400000	24	4	376.0	4.3	58.9	2	4
17758014	Active	528.700000	38	3	960.0	5.700	99.3	2	6
17758132	Active	442.500000	32	2	845.0	5.100	103.0	2	6
17758133	Active	527.700000	38	4	955.0	7.2	96.0	2	6
17758233	Active	461.600000	33	3	797.0	4.9	99.2	3	6
17758234	Active	488.600000	35	4	886.0	5.7	101.0	2	7
17758236	Active	485.600000	35	4	879.0	7.5	79.0	2	5
17758459	Active	491.600000	35	6	815.0	4.4	108.0	3	7
17758569	Active	503.700000	36	6	843.0	6.3	99.2	3	6
17758570	Active	475.600000	34	4	856.0	5.300	105.0	2	7
18188955	Active	409.500000	29	4	652.0	4.5	73.0	1	5
18189209	Active	303.400000	23	2	395.0	4.1	44.5	1	3
18189214	Active	393.500000	30	5	527.0	6.2	30.5	1	3
18504012	Active	473.500000	34	6	764.0	5.3	82.2	1	6
18511908	Active	448.500000	31	7	651.0	5.2	57.8	1	7
18511910	Active	573.700000	41	13	882.0	5.2	105.0	2	7
18511931	Active	544.700000	39	12	840.0	5.6	104.0	2	7
18511945	Active	459.400000	28	7	574.0	5.1	57.8	1	4
18511975	Active	438.500000	31	9	664.0	4.2	84.1	1	6
18511977	Active	398.500000	28	7	574.0	4.5	57.8	1	5
18511980	Active	410.500000	29	8	577.0	4.3	67.0	1	5
18511994	Active	394.500000	28	7	568.0	4.7	57.8	1	4
18512002	Active	394.500000	28	7	560.0	4.7	57.8	1	4
18512008	Active	396.500000	28	8	531.0	3.7	78.0	2	5
18512022	Active	398.500000	28	7	566.0	4.5	57.8	1	5
18512030	Active	546.600000	39	12	850.0	5.5	114.0	2	8
18512032	Active	408.600000	29	8	554.0	5.2	57.8	1	4
18512049	Active	544.700000	39	12	848.0	5.6	104.0	2	7
18512058	Active	414.900000	28	7	566.0	5.0	57.8	1	4
18512087	Active	414.900000	28	7	574.0	5.0	57.8	1	4
18512103	Active	631.700000	45	16	1010.0	5.1	143.0	3	9
18512117	Active	394.500000	28	8	527.0	4.7	57.8	1	4
18512130	Active	659.800000	47	18	1030.0	5.3	143.0	3	9
18512158	Active	587.700000	42	14	898.0	5.5	105.0	2	7
18512161	Active	394.500000	28	8	527.0	4.8	57.8	1	4
18512162	Active	643.800000	46	17	1010.0	5.6	133.0	3	8
18512163	Active	410.500000	29	8	585.0	4.3	67.0	1	5
18512166	Active	380.500000	27	7	513.0	4.4	57.8	1	4
18512168	Active	574.700000	41	14	881.0	5.7	114.0	2	8
18512170	Active	416.500000	29	7	606.0	4.6	57.8	1	6
18512171	Active	580.600000	41	12	918.0	5.9	104.0	2	9
18512178	Active	424.500000	30	8	649.0	3.9	95.1	2	6
18512192	Active	436.600000	31	10	634.0	5.0	67.0	1	5
18512213	Active	558.700000	40	13	855.0	6.0	104.0	2	7
18512224	Active	508.600000	36	9	765.0	6.1	67.0	1	7
18512282	Active	424.600000	30	10	560.0	4.0	67.0	1	5
18512329	Active	546.700000	39	13	791.0	5.7	85.5	1	7
18512334	Active	432.900000	29	7	608.0	5.1	57.8	1	5
18512366	Active	615.700000	44	15	982.0	5.4	133.0	3	8
18512380	Active	629.800000	45	16	997.0	5.3	133.0	3	8
18512392	Active	472.600000	34	9	689.0	5.9	67.0	1	5
18512399	Active	405.500000	29	7	659.0	4.1	81.6	1	5
18551230	Active	441.400000	31	5	700.0	3.8	95.9	3	9
18551237	Active	482.400000	34	6	818.0	4.3	97.2	2	10
18551266	Active	455.400000	32	6	715.0	4.1	84.9	2	9
20786216	Active	422.400000	30	6	574.0	5.400	65.4	3	8
21136439	Active	367.400000	26	3	583.0	3.4	84.0	2	5
21941658	Active	468.400000	33	5	802.0	4.0	108.0	3	10
21948853	Active	450.500000	32	7	617.0	6.100	54.4	2	8
21948904	Active	436.400000	31	6	603.0	5.8	65.4	3	8
21970730	Active	528.600000	36	5	1050.0	2.5	139.0	3	10
22284899	Active	430.500000	32	7	675.0	3.8	88.5	2	5
22314851	Active	387.500000	29	2	668.0	5.8	30.5	1	3
22314926	Active	361.500000	27	3	610.0	5.7	30.5	1	3
22314968	Active	373.500000	28	2	653.0	5.3	30.5	1	3
22315043	Active	383.400000	28	3	643.0	5.1	30.5	1	5
22398492	Active	417.500000	30	5	610.0	6.2	45.2	2	5
22398502	Active	477.400000	33	6	668.0	6.8	45.2	2	9
22398533	Active	421.400000	30	5	613.0	6.0	45.2	2	6
22398592	Active	410.400000	29	6	559.0	4.9	58.1	2	7
22398627	Active	434.400000	31	6	676.0	5.6	69.0	2	7
22566499	Active	381.600000	27	7	503.0	6.1	46.6	1	3
22566506	Active	427.600000	32	8	608.0	6.4	30.5	1	3
22566507	Active	365.500000	26	6	514.0	5.5	46.6	1	3
22566509	Active	413.500000	31	7	594.0	6.0	30.5	1	3
22605977	Active	270.400000	20	2	406.0	2.800	37.3	1	2
23433542	Active	280.400000	20	1	459.0	4.2	64.1	1	3
23552303	Active	405.500000	30	5	699.0	4.6	56.8	1	5
23596254	Active	360.500000	26	2	544.0	4.3	61.4	0	3
23596322	Active	360.500000	26	2	544.0	4.5	70.2	1	3
23596330	Active	374.500000	27	2	573.0	4.9	70.2	1	3
23625602	Active	486.500000	35	7	732.0	6.0	93.2	3	7
23648072	Active	323.400000	24	4	459.0	4.1	30.5	1	3
23648197	Active	444.600000	32	3	724.0	6.1	66.3	1	4
23648200	Active	444.600000	32	3	724.0	6.1	66.3	1	4
23648203	Active	424.500000	32	3	718.0	5.700	38.0	1	3
23648204	Active	424.500000	32	3	718.0	5.700	38.0	1	3
23648205	Active	414.500000	31	3	708.0	4.9	51.2	1	4
23648206	Active	414.500000	31	3	708.0	4.9	51.2	1	4
24748959	Active	387.400000	28	4	553.0	6.4	36.0	2	4
24749047	Active	440.500000	32	5	718.0	7.1	59.8	2	5
24749050	Active	447.900000	31	5	616.0	8.0	33.1	1	5
24768971	Active	457.400000	31	6	695.0	3.7	81.6	1	9
24769095	Active	482.500000	35	8	697.0	5.0	70.4	2	7
24789142	Active	470.600000	34	6	694.0	6.1	88.0	1	5
24809711	Active	529.400000	37	8	789.0	3.5	114.0	3	11
24816319	Active	478.600000	34	5	787.0	5.4	75.6	1	6
24860583	Active	338.400000	25	1	558.0	4.7	55.1	1	4
24872952	Active	574.500000	40	6	956.0	5.0	109.0	3	9
24873449	Active	494.500000	36	4	785.0	6.1	62.2	2	6
24882669	Active	525.500000	37	6	853.0	6.3	72.4	1	8
24883011	Active	373.300000	27	2	559.0	3.800	56.2	1	6
24883012	Active	391.300000	28	2	590.0	3.9	56.2	1	7
24883054	Active	409.300000	29	2	621.0	4.0	56.2	1	8
24883055	Active	405.300000	29	2	619.0	4.3	56.2	1	7
24895096	Active	407.500000	30	1	731.0	5.9	21.3	1	4
24936311	Active	451.600000	32	7	711.0	5.3	72.4	1	5
24936313	Active	472.600000	35	7	693.0	6.4	59.0	2	3
24936314	Active	465.600000	33	8	726.0	5.7	72.4	1	5
24936449	Active	519.600000	36	8	818.0	6.4	72.4	1	8
24936598	Active	469.600000	34	6	691.0	6.5	75.2	1	4
24936727	Active	484.600000	35	6	724.0	6.5	88.0	1	5
24936729	Active	484.600000	35	6	724.0	6.5	88.0	1	5
24936732	Active	476.600000	34	6	694.0	7.2	88.0	1	5
24936982	Active	437.500000	31	7	615.0	5.5	101.0	1	6
24936984	Active	437.500000	31	6	627.0	5.2	101.0	1	6
24937240	Active	447.600000	32	8	624.0	5.4	101.0	1	5
24937242	Active	473.600000	34	6	676.0	6.1	101.0	1	5
24937362	Active	453.600000	33	6	663.0	5.5	101.0	1	5
24937363	Active	488.000000	34	6	697.0	6.1	101.0	1	5
24937934	Active	514.500000	37	8	763.0	5.5	70.4	2	8
24937935	Active	518.500000	37	8	766.0	5.2	70.4	2	9
24937936	Active	569.400000	38	8	794.0	6.4	70.4	2	8
24952192	Active	366.400000	26	3	529.0	4.0	99.7	2	5
24952193	Active	367.400000	26	3	532.0	3.4	113.0	2	6
24953162	Active	465.500000	33	8	745.0	4.9	81.6	1	6
24953163	Active	467.600000	33	9	704.0	5.3	81.6	1	6
24953166	Active	439.500000	31	7	674.0	4.4	81.6	1	6
24953513	Active	493.500000	34	7	764.0	5.6	81.6	1	9
24954947	Active	511.600000	35	9	792.0	5.4	107.0	1	7
24954951	Active	543.600000	37	9	981.0	4.2	124.0	1	8
24955148	Active	488.600000	35	6	736.0	6.5	87.5	1	6
24955149	Active	489.500000	35	6	739.0	5.9	100.0	1	7
24957737	Active	342.400000	25	1	564.0	3.6	73.6	1	6
24958028	Active	511.400000	36	8	767.0	3.4	114.0	3	10
24960588	Active	528.900000	36	8	773.0	3.2	126.0	3	10
24961057	Active	359.500000	27	1	615.0	5.3	46.4	1	3
24961687	Active	527.900000	36	8	771.0	3.9	114.0	3	9
24961689	Active	527.900000	36	8	771.0	3.9	114.0	3	9
24961690	Active	545.900000	37	8	803.0	4.0	114.0	3	10
24962055	Active	545.900000	37	8	803.0	4.0	114.0	3	10
24997743	Active	467.600000	33	7	728.0	5.5	81.6	1	6
25011854	Active	445.500000	33	7	640.0	6.0	56.2	1	4
25012190	Active	473.600000	35	8	682.0	6.8	56.2	1	4
25013321	Active	429.500000	32	7	631.0	5.0	56.2	1	4
25013322	Active	457.400000	33	6	650.0	5.7	56.2	1	7
25013326	Active	475.600000	35	8	685.0	5.9	65.4	1	5
25013489	Active	447.500000	33	8	622.0	4.7	76.4	2	5
25013490	Active	475.600000	35	8	693.0	5.9	65.4	1	5
25013653	Active	497.500000	35	8	808.0	3.2	119.0	2	7
25013654	Active	503.500000	35	7	699.0	6.2	81.4	1	8
25013811	Active	460.500000	34	8	687.0	4.3	78.3	1	6
25013812	Active	507.500000	37	6	775.0	6.9	56.2	1	7
25014203	Active	403.400000	30	6	563.0	4.6	56.2	1	4
25014204	Active	447.500000	33	9	610.0	4.4	65.4	1	5
25014206	Active	465.500000	35	7	673.0	6.2	56.2	1	4
25028373	Active	545.400000	38	9	808.0	2.5	134.0	4	12
25048180	Active	348.800000	23	5	493.0	4.0	70.3	2	3
25113722	Active	388.300000	28	3	519.0	5.9	17.8	0	6
25205475	Active	426.400000	27	6	600.0	5.0	85.5	2	4
25205477	Active	437.300000	28	6	692.0	4.4	109.0	2	5
25231296	Active	416.600000	31	3	890.0	3.6	46.5	1	3
25235364	Active	443.600000	33	5	651.0	5.2	62.6	2	4
25257459	Active	300.400000	22	2	489.0	3.0	60.7	3	3
25257700	Active	322.400000	24	2	430.0	5.2	40.5	2	2
25258136	Active	284.400000	21	2	459.0	4.2	40.5	2	2
25258138	Active	296.400000	22	3	498.0	4.2	40.5	2	2
25258381	Active	389.500000	29	5	635.0	5.3	42.4	1	3
25258382	Active	427.600000	32	5	618.0	6.2	42.4	1	3
25258386	Active	338.400000	25	2	474.0	4.1	60.7	3	3
25258611	Active	375.500000	28	5	600.0	4.9	42.4	1	3
44156980	Active	511.700000	35	4	940.0	4.700	141.0	2	7
44193144	Active	495.900000	35	4	767.0	6.8	66.2	3	5
44193145	Active	510.000000	36	5	782.0	6.7	66.2	3	5
44193146	Active	461.900000	32	4	696.0	6.1	66.2	3	5
44193147	Active	502.000000	35	4	767.0	7.1	66.2	3	5
44193245	Active	486.500000	36	4	862.0	5.9	89.9	3	6
44193246	Active	486.500000	36	4	854.0	5.9	89.9	3	6
44193342	Active	495.900000	35	4	765.0	6.8	66.2	3	5
44193344	Active	526.000000	37	5	822.0	6.8	75.4	3	6
44193440	Active	504.600000	37	5	805.0	6.3	69.4	3	6
44219884	Active	680.900000	46	14	1250.0	2.300	188.0	5	9
44220470	Active	1513.800000	107	32	3350.0	0.800	435.0	12	17
44220471	Active	1306.600000	92	26	2830.0	1.300	371.0	10	15
44220675	Active	1184.500000	83	24	2500.0	1.400	337.0	9	14
44220676	Active	940.200000	65	20	1860.0	1.600	269.0	7	12
44220677	Active	595.800000	40	9	1130.0	1.600	185.0	5	8
44222262	Active	1635.900000	116	34	3690.0	0.700	469.0	13	18
44222437	Active	1391.700000	98	30	3010.0	0.900	401.0	11	16
44222438	Active	1062.300000	74	22	2180.0	1.500	303.0	8	13
44222616	Active	752.000000	51	17	1400.0	1.600	218.0	6	10
44250279	Active	459.600000	34	2	939.0	3.3	38.8	0	4
44250280	Active	445.600000	33	3	940.0	3.0	49.8	1	4
44251606	Active	395.400000	28	5	544.0	4.7	61.8	2	7
44292816	Active	377.500000	28	4	627.0	4.4	50.7	2	4
44292832	Active	361.500000	27	3	597.0	5.4	30.5	1	3
44293099	Active	419.500000	31	6	729.0	5.0	56.8	1	5
44293267	Active	375.500000	28	4	610.0	5.7	30.5	1	3
44293320	Active	401.500000	30	2	710.0	5.7	30.5	1	3
44293351	Active	361.500000	27	3	595.0	5.3	30.5	1	3
44294728	Active	632.600000	44	5	1270.0	6.200	101.0	2	13
44305237	Active	349.400000	26	1	622.0	6.0	21.3	1	3
44305270	Active	361.500000	27	1	672.0	6.2	21.3	1	3
44305556	Active	384.600000	28	3	764.0	3.8	51.2	0	3
44305617	Active	395.500000	28	4	627.0	3.9	64.2	0	5
44305684	Active	356.300000	22	0	474.0	4.6	21.3	1	2
44305720	Active	322.400000	24	0	553.0	3.8	67.1	1	4
44305733	Active	374.200000	23	0	508.0	4.7	21.3	1	3
44305819	Active	399.400000	28	4	631.0	3.8	73.0	1	6
44305822	Active	453.500000	32	7	752.0	3.9	99.3	1	7
44305874	Active	313.300000	23	0	506.0	4.1	21.3	1	4
44305900	Active	288.300000	22	2	363.0	4.8	18.5	0	2
44305909	Active	409.500000	29	5	684.0	3.6	90.1	1	6
44305929	Active	324.400000	24	0	503.0	4.2	67.1	1	4
44306067	Active	329.800000	23	0	508.0	4.7	21.3	1	3
44306078	Active	411.500000	29	5	650.0	3.7	82.2	1	6
44306825	Active	570.600000	39	7	1160.0	3.100	156.0	3	11
44310117	Active	451.600000	32	8	674.0	3.8	78.1	1	5
44310121	Active	394.500000	28	7	542.0	4.7	57.8	1	4
44310122	Active	410.500000	29	8	559.0	4.3	67.0	1	5
44310288	Active	464.500000	32	8	677.0	5.5	67.0	1	8
44310289	Active	364.500000	26	4	567.0	3.7	57.8	1	4
44310345	Active	394.500000	28	7	542.0	4.7	57.8	1	4
44310353	Active	394.500000	28	7	542.0	4.7	57.8	1	4
44310359	Active	366.500000	26	7	485.0	4.0	57.8	1	4
44310378	Active	408.500000	29	8	599.0	4.2	74.9	1	5
44310397	Active	410.500000	29	9	545.0	4.3	67.0	1	5
44310469	Active	410.500000	29	8	585.0	4.3	67.0	1	5
44310515	Active	459.400000	28	7	574.0	5.1	57.8	1	4
44310518	Active	414.900000	28	7	574.0	5.0	57.8	1	4
44310535	Active	398.500000	28	7	574.0	4.5	57.8	1	5
44310536	Active	448.500000	31	7	659.0	5.2	57.8	1	7
44310595	Active	448.500000	31	7	659.0	5.2	57.8	1	7
44310626	Active	394.500000	28	7	568.0	4.7	57.8	1	4
44310641	Active	405.500000	29	7	659.0	4.1	81.6	1	5
44310715	Active	442.600000	32	8	623.0	5.6	57.8	1	4
44314208	Active	633.800000	46	8	1330.0	2.5	148.0	5	9
44353994	Active	398.500000	30	1	716.0	5.5	34.2	1	4
44354006	Active	398.500000	30	1	716.0	5.5	34.2	1	4
44354884	Active	310.400000	22	1	518.0	4.3	81.1	1	4
44354886	Active	294.400000	21	1	487.0	4.5	64.1	1	3
44355066	Active	324.400000	23	1	547.0	4.7	81.1	1	4
44370955	Active	526.600000	36	4	1010.0	3.8	107.0	1	9
44371166	Active	544.600000	37	7	994.0	3.0	139.0	3	10
44371259	Active	510.600000	35	2	1060.0	3.3	107.0	1	9
44377090	Active	308.300000	22	0	516.0	3.0	41.1	2	5
44377098	Active	322.320000	23	0	544.0	3.2	32.3	1	5
44377356	Active	350.400000	25	0	627.0	4.4	41.1	2	5
44377382	Active	322.320000	23	0	559.0	3.6	41.1	2	5
44393033	Active	558.700000	40	13	863.0	6.0	104.0	2	7
44393047	Active	615.700000	44	15	990.0	4.9	133.0	3	8
44393048	Active	629.800000	45	16	1010.0	5.3	133.0	3	8
44393050	Active	670.700000	47	16	1060.0	4.7	154.0	4	12
44393051	Active	980.300000	70	20	1800.0	9.1	192.0	5	12
44393060	Active	517.700000	38	7	1100.0	2.7	98.1	3	6
44393061	Active	561.700000	41	9	1170.0	2.4	118.0	4	7
44393062	Active	543.700000	40	5	1180.0	3.2	87.1	2	6
44393181	Active	394.500000	28	7	562.0	4.8	57.8	1	4
44393182	Active	558.700000	40	13	855.0	6.0	104.0	2	7
44393183	Active	992.300000	71	21	1820.0	9.6	183.0	5	11
44393246	Active	558.700000	40	13	863.0	6.0	104.0	2	7
44393247	Active	992.300000	71	21	1810.0	9.6	183.0	5	11
44394919	Active	378.400000	27	1	789.0	2.000	94.8	3	6
44394965	Active	326.500000	23	2	514.0	3.8	65.5	1	3
44396490	Active	384.600000	28	7	657.0	5.9	37.3	1	2
44396502	Active	412.600000	30	9	687.0	7.0	37.3	1	2
44396512	Active	416.900000	29	3	903.0	3.6	60.4	0	4
44396526	Active	440.700000	32	11	716.0	8.1	37.3	1	2
44396547	Active	300.400000	22	1	570.0	2.7	37.3	1	2
44398565	Active	431.600000	32	3	866.0	4.0	40.5	1	3
44401707	Active	407.500000	30	3	652.0	4.4	50.9	1	5
44401853	Active	407.500000	30	3	652.0	4.4	50.9	1	5
44402030	Active	463.400000	30	3	676.0	6.6	66.3	1	4
44402151	Active	394.500000	28	3	607.0	4.8	66.3	1	4
44402680	Active	382.500000	28	3	620.0	4.8	36.3	0	4
44402681	Active	402.500000	30	2	687.0	4.4	36.3	0	4
44402683	Active	368.400000	27	1	607.0	4.1	36.3	0	4
44402699	Active	368.400000	27	1	607.0	4.1	36.3	0	4
44402711	Active	368.400000	27	1	607.0	4.1	36.3	0	4
44402722	Active	414.500000	30	5	654.0	2.7	54.7	0	6
44402736	Active	382.500000	28	1	659.0	4.3	36.3	0	4
44402746	Active	378.400000	28	3	670.0	4.2	36.3	0	4
44402753	Active	352.400000	26	2	617.0	3.5	36.3	0	4
44402754	Active	396.500000	29	3	635.0	5.1	36.3	0	4
44402755	Active	354.400000	26	1	591.0	3.6	36.3	0	4
44402763	Active	352.400000	26	2	617.0	3.5	36.3	0	4
44402766	Active	492.600000	37	3	818.0	6.3	36.3	0	4
44402767	Active	368.400000	27	1	607.0	4.1	36.3	0	4
44402769	Active	354.400000	26	1	593.0	3.7	36.3	0	4
44402770	Active	352.400000	26	2	617.0	3.5	36.3	0	4
44402796	Active	478.600000	36	3	802.0	5.9	36.3	0	4
44402799	Active	392.500000	29	3	685.0	4.6	36.3	0	4
44402805	Active	382.500000	28	1	659.0	4.3	36.3	0	4
44402817	Active	406.500000	30	3	721.0	4.7	36.3	0	4
44402818	Active	402.500000	30	2	687.0	4.4	36.3	0	4
44402820	Active	424.500000	31	5	662.0	5.8	36.3	0	4
44402832	Active	354.400000	26	1	591.0	3.6	36.3	0	4
44402833	Active	402.500000	30	2	687.0	4.4	36.3	0	4
44402841	Active	382.500000	28	1	622.0	4.4	36.3	0	4
44402847	Active	368.400000	27	1	618.0	4.0	36.3	0	4
44403036	Active	407.400000	29	5	630.0	4.0	75.6	2	7
44403038	Active	353.400000	26	5	540.0	3.3	75.6	2	4
44403039	Active	381.500000	28	6	581.0	4.2	75.6	2	4
44407314	Active	404.800000	27	6	477.0	6.4	29.5	1	6
44420005	Active	476.600000	35	5	983.0	3.6	65.0	1	5
44420007	Active	464.600000	34	4	985.0	3.7	55.8	1	5
44420010	Active	452.500000	33	3	958.0	3.8	46.5	1	5
44420011	Active	430.600000	32	3	929.0	4.0	46.5	1	3
44420014	Active	444.600000	33	3	948.0	4.4	46.5	1	3
44420015	Active	476.600000	35	5	983.0	3.6	65.0	1	5
44420017	Active	452.500000	33	3	970.0	3.8	46.5	1	5
44420022	Active	851.200000	62	11	1870.0	7.9	134.0	4	8
44420023	Active	865.200000	63	11	1890.0	8.2	134.0	4	8
44420024	Active	913.200000	67	12	1990.0	9.1	134.0	4	8
44420029	Active	477.000000	34	5	995.0	4.9	46.5	1	3
44420033	Active	491.100000	35	5	1030.0	5.3	46.5	1	3
44420040	Active	492.600000	37	4	1040.0	5.2	46.5	1	3
44420051	Active	478.600000	36	4	1010.0	5.2	46.5	1	3
44420054	Active	416.600000	31	2	913.0	3.7	57.5	2	3
44420057	Active	430.600000	32	3	929.0	4.0	46.5	1	3
44425531	Active	417.500000	31	3	883.0	1.9	49.8	1	4
44425537	Active	457.600000	34	3	999.0	2.9	49.8	1	4
44425538	Active	485.500000	35	3	1020.0	2.9	49.8	1	7
44425539	Active	473.600000	35	4	1010.0	3.7	49.8	1	4
44425540	Active	475.600000	35	4	1020.0	1.7	70.0	2	5
44425541	Active	475.600000	35	4	1010.0	2.2	59.0	1	5
44430346	Active	511.600000	38	4	1090.0	3.8	49.8	1	5
44430347	Active	528.100000	38	4	1090.0	4.3	49.8	1	4
44430353	Active	572.500000	38	4	1090.0	4.4	49.8	1	4
44430354	Active	507.700000	38	4	1080.0	4.0	49.8	1	4
44430355	Active	561.600000	41	4	1180.0	4.5	49.8	1	7
44430370	Active	511.600000	38	4	1090.0	3.8	49.8	1	5
44430377	Active	528.100000	38	4	1090.0	4.3	49.8	1	4
44430382	Active	507.700000	38	4	1080.0	4.0	49.8	1	4
44430384	Active	561.600000	41	4	1180.0	4.5	49.8	1	7
44430385	Active	528.100000	38	4	1080.0	4.3	49.8	1	4
44430386	Active	572.500000	38	4	1080.0	4.4	49.8	1	4
44430387	Active	507.700000	38	4	1070.0	4.0	49.8	1	4
44430388	Active	523.700000	39	5	1090.0	3.6	59.0	1	5
44430389	Active	518.600000	39	4	1180.0	3.4	73.6	1	5
44430390	Active	549.700000	41	5	1160.0	5.3	49.8	1	4
44430391	Active	529.600000	39	4	1110.0	3.9	49.8	1	6
44430392	Active	494.600000	37	4	1050.0	2.6	62.7	1	5
44430393	Active	494.600000	37	4	1050.0	2.6	62.7	1	5
44430394	Active	494.600000	37	4	1050.0	2.6	62.7	1	5
44430395	Active	499.700000	36	4	1040.0	3.3	78.0	1	5
44431142	Active	383.300000	24	5	525.0	4.7	70.3	2	3
44431146	Active	429.300000	25	5	559.0	4.3	70.3	2	5
44431150	Active	417.700000	25	5	557.0	5.3	70.3	2	3
44431167	Active	370.500000	26	5	561.0	4.7	61.6	1	3
44431187	Active	370.500000	26	5	561.0	4.9	70.3	2	3
44431190	Active	370.500000	26	5	561.0	4.9	70.3	2	3
44431202	Active	374.500000	26	5	567.0	4.6	70.3	2	4
44433485	Active	502.400000	31	6	652.0	5.3	67.2	2	6
44433486	Active	507.600000	35	7	830.0	5.3	92.6	2	8
44433489	Active	471.500000	34	6	714.0	5.7	67.2	2	6
44433491	Active	472.500000	34	6	717.0	5.5	93.2	3	7
44433492	Active	504.500000	36	7	763.0	6.1	93.2	3	8
44433500	Active	522.500000	37	7	803.0	6.2	93.2	3	9
44433501	Active	562.600000	40	7	889.0	7.3	93.2	3	9
44433502	Active	510.900000	35	7	750.0	5.9	93.2	3	8
44433503	Active	512.500000	36	8	750.0	5.0	102.0	3	10
44435656	Active	398.400000	28	7	514.0	5.2	46.5	1	7
44435662	Active	432.800000	29	7	557.0	5.8	46.5	1	7
44435663	Active	429.800000	29	6	605.0	6.1	53.2	1	7
44435667	Active	445.400000	32	6	687.0	6.7	53.2	1	7
44435668	Active	423.400000	30	6	616.0	6.2	53.2	1	7
44435669	Active	423.400000	30	6	628.0	6.2	53.2	1	7
44441954	Active	462.600000	33	3	1020.0	2.7	54.4	1	3
44443285	Active	469.600000	35	3	1070.0	3.9	55.7	0	4
44443286	Active	455.600000	34	2	1050.0	3.4	55.7	0	4
44443288	Active	470.600000	35	3	1030.0	4.3	41.9	0	4
44443289	Active	456.600000	34	2	1010.0	3.9	41.9	0	4
44443290	Active	442.600000	33	2	966.0	3.9	41.9	0	4
44443292	Active	461.600000	34	2	1030.0	3.8	47.9	0	5
44473146	Active	627.600000	46	10	1040.0	4.7	117.0	2	9
44515726	Active	654.700000	46	9	1210.0	4.1	146.0	2	10
44515729	Active	608.600000	44	11	977.0	4.6	124.0	3	9
44516035	Active	606.600000	44	9	1010.0	4.6	113.0	2	9
44516036	Active	627.600000	46	10	1040.0	4.9	117.0	2	9
44516340	Active	626.600000	46	10	1030.0	5.8	104.0	2	8
44516656	Active	604.600000	44	9	999.0	5.8	104.0	2	8
44516658	Active	604.600000	44	9	999.0	5.6	104.0	2	8
44516661	Active	638.700000	45	9	1090.0	3.5	140.0	2	10
44516982	Active	620.600000	45	9	1040.0	4.8	124.0	3	9
44517308	Active	620.600000	45	9	1040.0	4.6	124.0	3	9
44517310	Active	620.600000	45	9	1040.0	4.6	124.0	3	9
44517735	Active	536.500000	38	8	788.0	5.4	70.4	2	10
44543858	Active	519.600000	34	7	946.0	2.9	160.0	3	10
44543860	Active	497.500000	34	7	861.0	3.6	135.0	3	8
44543969	Active	501.500000	34	7	863.0	3.3	135.0	3	9
44543970	Active	515.500000	35	8	879.0	3.7	135.0	3	9
44544094	Active	529.500000	36	8	908.0	4.1	135.0	3	9
44544321	Active	517.900000	34	7	866.0	3.9	135.0	3	8
44545482	Active	497.500000	34	8	845.0	3.6	135.0	3	8
44563171	Active	562.300000	37	8	795.0	4.6	114.0	3	9
44563745	Active	800.000000	57	20	1470.0	3.200	187.0	7	11
44563746	Active	798.000000	57	17	1520.0	4.200	167.0	5	11
44563747	Active	870.000000	62	20	1740.0	1.500	256.0	8	12
44565615	Active	425.300000	26	2	562.0	4.5	70.2	1	3
44565616	Active	380.900000	26	2	562.0	4.3	70.2	1	3
44565646	Active	347.400000	25	2	519.0	3.5	83.1	1	4
44569945	Active	562.300000	37	8	795.0	4.6	114.0	3	9
44570143	Active	589.500000	40	9	1010.0	2.6	156.0	3	12
44570182	Active	596.800000	38	8	827.0	5.2	114.0	3	9
44570183	Active	528.900000	36	8	773.0	3.2	126.0	3	10
44570222	Active	532.500000	38	8	842.0	3.4	129.0	4	9
44570224	Active	515.400000	36	7	774.0	3.1	114.0	3	11
44570225	Active	543.500000	38	9	805.0	4.0	114.0	3	11
44570275	Active	547.400000	38	9	807.0	3.5	114.0	3	12
44586093	Active	479.600000	33	6	951.0	1.400	143.0	3	7
44587000	Active	477.600000	34	6	963.0	3.000	113.0	3	7
44587001	Active	491.600000	35	7	979.0	3.300	113.0	3	7
