PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144204538,68928,0,inactive,inactive,,0
144205447,68939,0,inactive,inactive,,0
144205314,68940,0,inactive,inactive,,0
144205432,68942,0,inactive,inactive,,0
144205533,68943,0,inactive,inactive,,0
144205410,68947,0,inactive,inactive,,0
144207646,69027,0,inactive,inactive,,0
144212933,69091,0,inactive,inactive,,0
144206202,69092,0,inactive,inactive,,0
144213742,69144,0,inactive,inactive,,0
144207748,69150,0,inactive,inactive,,0
144205852,69188,0,inactive,inactive,,0
144211925,69229,0,inactive,inactive,,0
144212318,69297,0,inactive,inactive,,0
144205042,69301,0,inactive,inactive,,0
144212416,69311,0,inactive,inactive,,0
144208236,69317,0,inactive,inactive,,0
144211392,69413,0,inactive,inactive,,0
144212380,69484,0,inactive,inactive,,0
144211547,69508,0,inactive,inactive,,0
144210837,69537,0,inactive,inactive,,0
144204530,69588,0,inactive,inactive,,0
144205367,69594,0,inactive,inactive,,0
144210715,69619,0,inactive,inactive,,0
144211762,69627,0,inactive,inactive,,0
