PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144211413,50465,0,inactive,inactive,,0
144206633,50491,20,active antagonist,active antagonist,0.0952052,-28.2521
144212174,50895,0,inactive,inactive,,0
144208995,50896,0,inactive,inactive,,0
144211402,50897,0,inactive,inactive,,0
144205130,50942,0,inactive,inactive,,0
144204431,51039,0,inactive,inactive,,0
144204980,51040,0,inactive,inactive,,0
144206141,51045,0,inactive,inactive,,0
144204463,51173,0,inactive,inactive,,0
144211874,51369,0,inactive,inactive,,0
144208593,51556,0,inactive,inactive,,0
144204509,51576,0,inactive,inactive,,0
144211526,51605,0,inactive,inactive,,0
144204381,51634,0,inactive,inactive,,0
144205611,51683,0,inactive,inactive,,0
144204758,51763,0,inactive,inactive,,0
144212160,52997,0,inactive,inactive,,0
144208054,52999,0,inactive,inactive,,0
144204410,53001,0,inactive,inactive,,0
144204232,53025,0,inactive,inactive,,0
144211978,53172,0,inactive,inactive,,0
144204439,53232,20,active antagonist,active antagonist,,-15.1921
144206867,53359,0,inactive,inactive,,0
144204504,53388,0,inactive,inactive,,0
144207891,53462,0,inactive,inactive,,0
144209205,53518,0,inactive,inactive,,0
144205519,53555,0,inactive,inactive,,0
144211571,53672,0,inactive,inactive,,0
144203688,53708,0,inactive,inactive,,0
144212170,53735,0,inactive,inactive,,0
144204243,54117,0,inactive,inactive,,0
144206328,54158,0,inactive,inactive,,0
144206637,54339,0,inactive,inactive,,0
144205815,54343,0,inactive,inactive,,0
144205022,54360,0,inactive,inactive,,0
144204245,54362,0,inactive,inactive,,0
144204246,54384,0,inactive,inactive,,0
144204485,54477,0,inactive,inactive,,0
144204249,54580,100,active agonist,active agonist,0.00036225,106.382
144205805,54585,0,inactive,inactive,,0
144211318,54738,0,inactive,inactive,,0
144209206,54739,0,inactive,inactive,,0
144211329,54740,0,inactive,inactive,,0
144212535,54744,0,inactive,inactive,,0
144211214,54745,0,inactive,inactive,,0
144206142,54746,0,inactive,inactive,,0
144204253,54765,0,inactive,inactive,,0
144211899,54886,0,inactive,inactive,,0
144206143,54889,0,inactive,inactive,,0
144204934,54891,0,inactive,inactive,,0
144207142,54897,0,inactive,inactive,,0
144207055,55008,0,inactive,inactive,,0
144204255,55182,0,inactive,inactive,,0
144204503,55245,0,inactive,inactive,,0
144204790,55305,0,inactive,inactive,,0
144204505,55329,0,inactive,inactive,,0
144206777,55361,0,inactive,inactive,,0
144204258,55397,0,inactive,inactive,,0
144206582,55483,0,inactive,inactive,,0
144206571,56031,0,inactive,inactive,,0
144206041,56069,0,inactive,inactive,,0
144205958,56205,0,inactive,inactive,,0
144205015,56207,0,inactive,inactive,,0
144206524,56330,0,inactive,inactive,,0
144205338,56463,0,inactive,inactive,,0
144206053,56704,0,inactive,inactive,,0
144204822,56801,0,inactive,inactive,,0
144203809,56959,0,inactive,inactive,,0
144204513,56971,0,inactive,inactive,,0
144204775,57004,0,inactive,inactive,,0
144205562,57242,0,inactive,inactive,,0
144204268,57363,0,inactive,inactive,,0
144204744,57364,0,inactive,inactive,,0
144204536,57469,0,inactive,inactive,,0
144205596,57782,0,inactive,inactive,,0
144205557,57952,0,inactive,inactive,,0
144207072,58504,0,inactive,inactive,,0
144206180,59227,0,inactive,inactive,,0
144213918,59694,0,inactive,inactive,,0
144205826,59708,0,inactive,inactive,,0
144206896,59774,0,inactive,inactive,,0
144206857,60021,0,inactive,inactive,,0
144206958,60149,0,inactive,inactive,,0
144205789,60164,0,inactive,inactive,,0
144205435,60172,0,inactive,inactive,,0
144205052,60198,0,inactive,inactive,,0
144205233,60490,0,inactive,inactive,,0
144204507,60510,0,inactive,inactive,,0
144204993,60560,0,inactive,inactive,,0
144204251,60561,0,inactive,inactive,,0
144205511,60582,0,inactive,inactive,,0
144205420,60605,0,inactive,inactive,,0
144206546,60613,0,inactive,inactive,,0
